grower_id,state,district,language,device_type,grower_age,grower_farm_size,main_crop,days_until_harvest,estimated_growth_stage,season_phase,campaign_product,engagement_score_predicted,engagement_segment
GRW_00001,Rajasthan,Bharatpur,Hindi,smartphone,67,3.54,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.03426697994756772,Medium (3-6%)
GRW_00002,Uttar Pradesh,Kanpur Nagar,Hindi,smartphone,71,1.34,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.008212845706154204,Low (<3%)
GRW_00003,Punjab,Patiala,Punjabi,smartphone,52,0.55,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.0018945396737563788,Low (<3%)
GRW_00004,Rajasthan,Jaipur,Hindi,smartphone,65,0.79,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.02919619393770518,Low (<3%)
GRW_00005,Uttar Pradesh,Kanpur Nagar,Hindi,smartphone,26,1.33,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.109020999302213,Very High (>10%)
GRW_00008,Gujarat,Ahmedabad,Gujarati,smartphone,48,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.03186981382090413,Medium (3-6%)
GRW_00009,Uttar Pradesh,Meerut,Hindi,smartphone,28,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.02399704270112026,Low (<3%)
GRW_00010,Rajasthan,Bharatpur,Hindi,smartphone,29,2.41,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.03811216596102518,Medium (3-6%)
GRW_00011,Madhya Pradesh,Ujjain,Hindi,smartphone,35,1.29,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.3275793489637523,Very High (>10%)
GRW_00013,Karnataka,Kalaburagi,Kannada,smartphone,40,1.58,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.10076889131912757,Very High (>10%)
GRW_00016,Karnataka,Kalaburagi,Kannada,smartphone,71,1.58,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.099249311552854,High (6-10%)
GRW_00017,Haryana,Sirsa,Hindi,smartphone,67,1.5,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.09038890334832522,High (6-10%)
GRW_00018,Bihar,Patna,Hindi,smartphone,49,3.66,lentil,-21.0,post_harvest,post_season,Amistar 250 SC,0.0072602038552779784,Low (<3%)
GRW_00019,Haryana,Karnal,Hindi,smartphone,25,0.79,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.018730004098405976,Low (<3%)
GRW_00020,Rajasthan,Bikaner,Hindi,smartphone,43,1.64,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.3974585704209128,Very High (>10%)
GRW_00021,Haryana,Karnal,Hindi,smartphone,50,1.45,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.02694578529195967,Low (<3%)
GRW_00023,Maharashtra,Amravati,Marathi,smartphone,25,0.66,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.10509120528397697,Very High (>10%)
GRW_00024,Karnataka,Vijayapura,Kannada,smartphone,28,2.37,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.0091870618098301,Low (<3%)
GRW_00026,Punjab,Ludhiana,Punjabi,smartphone,47,1.45,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.060971624451446674,High (6-10%)
GRW_00027,Rajasthan,Jaipur,Hindi,smartphone,51,2.51,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.2985361514536366,Very High (>10%)
GRW_00029,Haryana,Rohtak,Hindi,smartphone,46,0.5,barley,-26.0,post_harvest,post_season,Amistar 250 SC,0.007770951648396858,Low (<3%)
GRW_00031,Punjab,Patiala,Punjabi,smartphone,62,7.31,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.022306320549856568,Low (<3%)
GRW_00033,Rajasthan,Sikar,Hindi,smartphone,49,1.18,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.13841866480790738,Very High (>10%)
GRW_00034,Haryana,Rohtak,Hindi,smartphone,40,2.05,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.0818296412890586,High (6-10%)
GRW_00035,Rajasthan,Bikaner,Hindi,smartphone,61,0.85,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.24968053817997826,Very High (>10%)
GRW_00036,Madhya Pradesh,Sehore,Hindi,smartphone,40,1.79,lentil,-21.0,post_harvest,post_season,Amistar 250 SC,0.23766548183771508,Very High (>10%)
GRW_00037,Punjab,Patiala,Punjabi,smartphone,69,4.23,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.0061529266894560985,Low (<3%)
GRW_00038,Maharashtra,Amravati,Marathi,smartphone,60,3.0,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.012320280212046163,Low (<3%)
GRW_00040,Uttar Pradesh,Meerut,Hindi,smartphone,64,1.36,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.029666094726828917,Low (<3%)
GRW_00041,Rajasthan,Bharatpur,Hindi,smartphone,72,2.59,,,unknown,unknown,Tilt 250 EC,0.015888420389048318,Low (<3%)
GRW_00042,Gujarat,Ahmedabad,Gujarati,smartphone,35,1.14,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.04186319426876133,Medium (3-6%)
GRW_00043,Haryana,Sirsa,Hindi,smartphone,37,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.24451268227578768,Very High (>10%)
GRW_00045,Maharashtra,Jalgaon,Marathi,smartphone,40,2.92,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.6080817573194206,Very High (>10%)
GRW_00046,Gujarat,Mehsana,Gujarati,smartphone,71,,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.010640539179733706,Low (<3%)
GRW_00047,Punjab,Ludhiana,Punjabi,smartphone,65,2.56,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.07197245164534524,High (6-10%)
GRW_00048,Haryana,Rohtak,Hindi,smartphone,46,1.9,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.1039302102075674,Very High (>10%)
GRW_00049,Maharashtra,Jalgaon,Marathi,smartphone,26,2.1,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.020244672425381634,Low (<3%)
GRW_00050,Madhya Pradesh,Indore,Hindi,smartphone,74,1.92,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.22510788725858852,Very High (>10%)
GRW_00051,Madhya Pradesh,Ratlam,Hindi,smartphone,31,0.95,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.17899713707760212,Very High (>10%)
GRW_00052,Punjab,Ludhiana,Punjabi,smartphone,35,1.87,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.07838230199775495,High (6-10%)
GRW_00053,West Bengal,Nadia,Bengali,smartphone,38,2.24,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.035652657374486744,Medium (3-6%)
GRW_00054,Punjab,Patiala,Punjabi,smartphone,68,,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.03871701466791207,Medium (3-6%)
GRW_00055,Maharashtra,Akola,Marathi,smartphone,53,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.08262996463708948,High (6-10%)
GRW_00056,Maharashtra,Akola,Marathi,smartphone,22,1.83,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.21467587993132006,Very High (>10%)
GRW_00057,Haryana,Hisar,Hindi,smartphone,52,1.15,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.04555986201836649,Medium (3-6%)
GRW_00058,Maharashtra,Akola,Marathi,smartphone,30,0.71,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.10590457070497639,Very High (>10%)
GRW_00059,Haryana,Rohtak,Hindi,smartphone,71,4.38,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.01784531688105869,Low (<3%)
GRW_00061,Uttar Pradesh,Varanasi,Hindi,smartphone,58,2.24,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.011530052662090715,Low (<3%)
GRW_00062,Punjab,Bathinda,Punjabi,smartphone,45,1.37,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.015127435660234225,Low (<3%)
GRW_00063,Uttar Pradesh,Kanpur Nagar,Hindi,smartphone,63,0.41,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.011472360769192166,Low (<3%)
GRW_00064,Haryana,Karnal,Hindi,smartphone,63,2.63,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.020424919942997184,Low (<3%)
GRW_00065,Haryana,Rohtak,Hindi,smartphone,72,1.02,,,unknown,unknown,Tilt 250 EC,0.009553274502282313,Low (<3%)
GRW_00066,Rajasthan,Bikaner,Hindi,smartphone,67,1.99,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.09331685327870005,High (6-10%)
GRW_00067,Maharashtra,Jalgaon,Marathi,smartphone,63,0.48,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.01705882622430081,Low (<3%)
GRW_00068,Gujarat,Ahmedabad,Gujarati,smartphone,25,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.02055902547397908,Low (<3%)
GRW_00069,Uttar Pradesh,Varanasi,Hindi,smartphone,36,0.79,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.016052356454344056,Low (<3%)
GRW_00072,Rajasthan,Bikaner,Hindi,smartphone,30,,,,unknown,unknown,Tilt 250 EC,0.05816934708701193,Medium (3-6%)
GRW_00073,Rajasthan,Bikaner,Hindi,smartphone,66,2.28,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.012730391188307637,Low (<3%)
GRW_00075,Haryana,Sirsa,Hindi,smartphone,69,2.06,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.034482135417722694,Medium (3-6%)
GRW_00076,Bihar,Muzaffarpur,Hindi,smartphone,31,2.74,,,unknown,unknown,Tilt 250 EC,0.019734035357914226,Low (<3%)
GRW_00077,Punjab,Amritsar,Punjabi,smartphone,35,1.96,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.09098550521561066,High (6-10%)
GRW_00078,Bihar,Patna,Hindi,smartphone,67,1.78,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.15083700954092938,Very High (>10%)
GRW_00079,Rajasthan,Bharatpur,Hindi,smartphone,54,0.46,barley,-26.0,post_harvest,post_season,Amistar 250 SC,0.005121933642986223,Low (<3%)
GRW_00080,Uttar Pradesh,Lucknow,Hindi,smartphone,27,2.12,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.08935163964367082,High (6-10%)
GRW_00082,Punjab,Amritsar,Punjabi,smartphone,73,2.13,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.200730323061596,Very High (>10%)
GRW_00083,Punjab,Amritsar,Punjabi,smartphone,63,2.8,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.07911839503366443,High (6-10%)
GRW_00084,West Bengal,Bardhaman,Bengali,smartphone,69,1.28,lentil,-21.0,post_harvest,post_season,Amistar 250 SC,0.022234613181351125,Low (<3%)
GRW_00086,Punjab,Amritsar,Punjabi,smartphone,40,,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.5529571764507594,Very High (>10%)
GRW_00087,Bihar,Muzaffarpur,Hindi,smartphone,46,1.99,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.047082127973635486,Medium (3-6%)
GRW_00088,Haryana,Karnal,Hindi,smartphone,29,1.52,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.38191106964738963,Very High (>10%)
GRW_00089,Bihar,Muzaffarpur,Hindi,smartphone,56,4.65,lentil,-21.0,post_harvest,post_season,Amistar 250 SC,0.04622342325000054,Medium (3-6%)
GRW_00091,Madhya Pradesh,Sehore,Hindi,smartphone,38,0.49,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.03726458954563001,Medium (3-6%)
GRW_00092,Uttar Pradesh,Varanasi,Hindi,smartphone,64,1.11,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.0094387801249248,Low (<3%)
GRW_00094,Maharashtra,Amravati,Marathi,smartphone,73,1.23,safflower,-44.0,post_harvest,post_season,Score 250 EC,0.023315912405760034,Low (<3%)
GRW_00095,Rajasthan,Sikar,Hindi,smartphone,22,1.57,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.12965648793492002,Very High (>10%)
GRW_00096,Madhya Pradesh,Ratlam,Hindi,smartphone,52,1.93,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.05836522560910993,Medium (3-6%)
GRW_00097,Rajasthan,Bikaner,Hindi,smartphone,50,1.18,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.2406240347044403,Very High (>10%)
GRW_00098,Haryana,Hisar,Hindi,smartphone,46,0.94,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.038041740859978856,Medium (3-6%)
GRW_00100,Uttar Pradesh,Varanasi,Hindi,smartphone,25,1.91,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.021222456011086743,Low (<3%)
GRW_00101,Uttar Pradesh,Meerut,Hindi,smartphone,73,2.32,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.029292859961191492,Low (<3%)
GRW_00102,Madhya Pradesh,Sehore,Hindi,smartphone,44,2.06,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.20686594939656403,Very High (>10%)
GRW_00103,Haryana,Karnal,Hindi,smartphone,32,0.54,chickpea,-35.0,post_harvest,post_season,Amistar 250 SC,0.050649975270076995,Medium (3-6%)
GRW_00104,Uttar Pradesh,Lucknow,Hindi,smartphone,42,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.026226364505152627,Low (<3%)
GRW_00105,Uttar Pradesh,Agra,Hindi,smartphone,59,1.08,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.4113427303070097,Very High (>10%)
GRW_00106,Bihar,Muzaffarpur,Hindi,smartphone,69,1.0,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.003955887690013576,Low (<3%)
GRW_00107,Karnataka,Kalaburagi,Kannada,smartphone,70,,,,unknown,unknown,Tilt 250 EC,0.0280020003001818,Low (<3%)
GRW_00109,Haryana,Hisar,Hindi,smartphone,56,5.5,,,unknown,unknown,Tilt 250 EC,0.030628598578419472,Medium (3-6%)
GRW_00111,Haryana,Karnal,Hindi,smartphone,48,,mustard,-49.0,post_harvest,post_season,Score 250 EC,0.02338311185540335,Low (<3%)
GRW_00112,Rajasthan,Jaipur,Hindi,smartphone,53,2.85,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.3359987849209409,Very High (>10%)
GRW_00113,Uttar Pradesh,Kanpur Nagar,Hindi,smartphone,48,,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.10452055358404357,Very High (>10%)
GRW_00114,Punjab,Bathinda,Punjabi,smartphone,62,3.96,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.013669489828074751,Low (<3%)
GRW_00116,Uttar Pradesh,Varanasi,Hindi,smartphone,42,1.52,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.02728728332786849,Low (<3%)
GRW_00118,Uttar Pradesh,Kanpur Nagar,Hindi,smartphone,24,2.96,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.08058139407514084,High (6-10%)
GRW_00119,Karnataka,Vijayapura,Kannada,smartphone,38,2.24,,,unknown,unknown,Tilt 250 EC,0.02300771495826943,Low (<3%)
GRW_00122,Punjab,Bathinda,Punjabi,smartphone,64,0.82,potato,-75.0,post_harvest,post_season,Kavach 75 WP,0.011560373260840381,Low (<3%)
GRW_00124,Karnataka,Vijayapura,Kannada,smartphone,70,0.98,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.007069995682621092,Low (<3%)
GRW_00126,Rajasthan,Sikar,Hindi,smartphone,24,0.75,barley,-26.0,post_harvest,post_season,Amistar 250 SC,0.05373713711441946,Medium (3-6%)
GRW_00128,Maharashtra,Jalgaon,Marathi,smartphone,51,1.75,safflower,-44.0,post_harvest,post_season,Score 250 EC,0.07493461202250855,High (6-10%)
GRW_00129,West Bengal,Nadia,Bengali,smartphone,56,2.39,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.052063157879259095,Medium (3-6%)
GRW_00130,Karnataka,Vijayapura,Kannada,smartphone,28,1.0,wheat,-16.0,post_harvest,post_season,Tilt 250 EC,0.19019371091967077,Very High (>10%)
